electricity,irradiance_direct,irradiance_diffuse,temperature
0.017,0.007,0.027,34.28
0.0,0.0,0.0,32.657
0.0,0.0,0.0,31.829
0.0,0.0,0.0,30.81
0.0,0.0,0.0,29.892
0.0,0.0,0.0,29.151
0.0,0.0,0.0,28.458
0.0,0.0,0.0,27.87
0.0,0.0,0.0,27.372
0.0,0.0,0.0,26.855
0.0,0.0,0.0,26.424
0.0,0.0,0.0,26.117
0.154,0.17300000000000001,0.021,26.267
0.495,0.516,0.107,28.502
0.641,0.676,0.171,31.139
0.6920000000000001,0.72,0.224,33.623
0.713,0.7020000000000001,0.289,35.418
0.684,0.5760000000000001,0.372,36.516
0.659,0.482,0.43,37.222
0.642,0.454,0.432,37.76
0.538,0.276,0.443,37.645
0.392,0.139,0.369,37.155
0.187,0.034,0.20800000000000002,36.067
0.089,0.018000000000000002,0.105,35.074
0.028,0.012,0.036000000000000004,33.764
0.0,0.0,0.0,31.989
0.0,0.0,0.0,31.106
0.0,0.0,0.0,30.219
0.0,0.0,0.0,29.449
0.0,0.0,0.0,28.741
0.0,0.0,0.0,28.065
0.0,0.0,0.0,27.534
0.0,0.0,0.0,27.101
0.0,0.0,0.0,26.718
0.0,0.0,0.0,26.348
0.0,0.0,0.0,26.018
0.028,0.03,0.016,26.095
0.189,0.128,0.108,27.821
0.335,0.2,0.218,30.817
0.488,0.314,0.316,33.372
0.599,0.457,0.34700000000000003,35.405
0.64,0.497,0.381,36.976
0.659,0.53,0.386,38.128
0.659,0.554,0.367,38.951
0.641,0.5630000000000001,0.33,39.374
0.589,0.518,0.289,39.282
0.47300000000000003,0.387,0.241,38.672
0.215,0.124,0.154,37.261
0.037,0.02,0.04,35.136
0.0,0.0,0.0,33.239
0.0,0.0,0.0,32.057
0.0,0.0,0.0,30.833
0.0,0.0,0.0,29.762
0.0,0.0,0.0,28.904
0.0,0.0,0.0,28.151
0.0,0.0,0.0,27.39
0.0,0.0,0.0,26.73
0.0,0.0,0.0,26.18
0.0,0.0,0.0,25.703
0.0,0.0,0.0,25.303
0.165,0.186,0.02,25.385
0.525,0.559,0.10300000000000001,27.995
0.661,0.716,0.163,31.107
0.713,0.769,0.21,33.426
0.747,0.8230000000000001,0.228,35.311
0.757,0.841,0.24,36.988
0.736,0.778,0.272,38.169
0.71,0.718,0.29,38.833
0.681,0.68,0.279,39.133
0.617,0.586,0.265,38.961
0.314,0.15,0.255,37.786
0.187,0.096,0.147,36.528
0.051000000000000004,0.032,0.045,34.756
0.0,0.0,0.0,32.641
0.0,0.0,0.0,30.937
0.0,0.0,0.0,29.292
0.0,0.0,0.0,27.981
0.0,0.0,0.0,27.097
0.0,0.0,0.0,26.469
0.0,0.0,0.0,26.008
0.0,0.0,0.0,25.594
0.0,0.0,0.0,25.246
0.0,0.0,0.0,24.978
0.0,0.0,0.0,24.8
0.14,0.157,0.019,24.902
0.527,0.56,0.101,26.723
0.665,0.716,0.161,29.522
0.725,0.789,0.202,32.057
0.754,0.8310000000000001,0.224,34.187
0.759,0.834,0.241,35.823
0.752,0.8190000000000001,0.252,37.043
0.73,0.773,0.264,37.85
0.687,0.6910000000000001,0.273,38.141
0.603,0.548,0.274,37.893
0.482,0.401,0.233,37.13
0.24,0.154,0.154,35.693
0.051000000000000004,0.033,0.044,33.91
0.0,0.0,0.0,32.239
0.0,0.0,0.0,31.213
0.0,0.0,0.0,30.368
0.0,0.0,0.0,29.567
0.0,0.0,0.0,28.708
0.0,0.0,0.0,27.899
0.0,0.0,0.0,27.244
0.0,0.0,0.0,26.747
0.0,0.0,0.0,26.31
0.0,0.0,0.0,25.888
0.0,0.0,0.0,25.483
0.128,0.145,0.019,25.541
0.467,0.47900000000000004,0.10400000000000001,27.725
0.599,0.607,0.17400000000000002,30.472
0.679,0.6950000000000001,0.222,32.611
0.72,0.737,0.261,34.379
0.742,0.773,0.273,35.931
0.745,0.785,0.275,37.185
0.73,0.764,0.276,38.06
0.685,0.675,0.28700000000000003,38.4
0.598,0.531,0.28500000000000003,38.238
0.316,0.149,0.258,37.17
0.14300000000000002,0.055,0.134,35.939
0.032,0.016,0.037,34.321
0.0,0.0,0.0,32.38
0.0,0.0,0.0,31.459
0.0,0.0,0.0,30.612
0.0,0.0,0.0,29.684
0.0,0.0,0.0,28.814
0.0,0.0,0.0,27.989
0.0,0.0,0.0,27.354
0.0,0.0,0.0,27.023
0.0,0.0,0.0,26.566
0.0,0.0,0.0,26.172
0.0,0.0,0.0,25.88
0.095,0.108,0.018000000000000002,26.057
0.395,0.38,0.108,27.734
0.539,0.5,0.19,29.897
0.5680000000000001,0.461,0.277,31.25
0.608,0.40800000000000003,0.395,32.345
0.639,0.405,0.453,33.51
0.595,0.272,0.518,33.997
0.47700000000000004,0.113,0.502,33.665
0.356,0.051000000000000004,0.398,32.544
0.199,0.016,0.23500000000000001,30.492
0.123,0.01,0.149,28.762
0.043000000000000003,0.004,0.062,27.589
0.007,0.002,0.016,26.786
0.0,0.0,0.0,26.091
0.0,0.0,0.0,25.705
0.0,0.0,0.0,25.484
0.0,0.0,0.0,25.298
0.0,0.0,0.0,25.111
0.0,0.0,0.0,24.752
0.0,0.0,0.0,24.289
0.0,0.0,0.0,24.045
0.0,0.0,0.0,23.881
0.0,0.0,0.0,23.885
0.0,0.0,0.0,23.879
0.047,0.051000000000000004,0.018000000000000002,24.264
